Account,Wave,Priority,Function,Target Title Cluster,Named Seed,Sales Nav Query,LinkedIn People Query,Google X-Ray Query,Keywords / Filters,Source Signal,Owner,Status,Notes
John Deere,Wave 2 - High-value,P1,Supply Chain,VP Logistics,Cory Reed,"""John Deere"" AND (""VP Logistics"" OR ""VP Logistics"")",John Deere VP Logistics MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""John Deere"" ""VP Logistics""",Manufacturing; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
John Deere,Wave 2 - High-value,P2,Logistics,VP Manufacturing,Cory Reed,"""John Deere"" AND (""VP Manufacturing"" OR ""VP Manufacturing"")",John Deere VP Manufacturing MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""John Deere"" ""VP Manufacturing""",Manufacturing; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
John Deere,Wave 2 - High-value,P2,Operations,Director site logistics,Cory Reed,"""John Deere"" AND (""Director site logistics"" OR ""Director site logistics"")",John Deere Director site logistics MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""John Deere"" ""Director site logistics""",Manufacturing; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
John Deere,Wave 2 - High-value,P3,Transformation,Director network operations,Cory Reed,"""John Deere"" AND (""Director network operations"" OR ""Director network operations"")",John Deere Director network operations MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""John Deere"" ""Director network operations""",Manufacturing; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
John Deere,Wave 2 - High-value,P3,Site leader,Digital transformation leader,Cory Reed,"""John Deere"" AND (""Digital transformation leader"" OR ""Digital transformation leader"")",John Deere Digital transformation leader MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""John Deere"" ""Digital transformation leader""",Manufacturing; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Kenco Logistics Services,Wave 3 - Ecosystem / opportunistic,P1,Exec owner,VP Innovation,Kristi Montgomery,"""Kenco"" AND (""VP Innovation"" OR ""VP Innovation"")",Kenco VP Innovation MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Kenco"" ""VP Innovation""",3PL / Logistics; Named speaker; MODEX; Atlanta; operations; logistics,Named speaker in official session program,Jake,Not started,
Kenco Logistics Services,Wave 3 - Ecosystem / opportunistic,P1,Supply Chain,VP Operations,Kristi Montgomery,"""Kenco"" AND (""VP Operations"" OR ""VP Operations"")",Kenco VP Operations MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Kenco"" ""VP Operations""",3PL / Logistics; Named speaker; MODEX; Atlanta; operations; logistics,Named speaker in official session program,Jake,Not started,
Kenco Logistics Services,Wave 3 - Ecosystem / opportunistic,P2,Logistics,VP Customer Solutions,Kristi Montgomery,"""Kenco"" AND (""VP Customer Solutions"" OR ""VP Customer Solutions"")",Kenco VP Customer Solutions MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Kenco"" ""VP Customer Solutions""",3PL / Logistics; Named speaker; MODEX; Atlanta; operations; logistics,Named speaker in official session program,Jake,Not started,
Kenco Logistics Services,Wave 3 - Ecosystem / opportunistic,P2,Operations,Business development leader,Kristi Montgomery,"""Kenco"" AND (""Business development leader"" OR ""Business development leader"")",Kenco Business development leader MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Kenco"" ""Business development leader""",3PL / Logistics; Named speaker; MODEX; Atlanta; operations; logistics,Named speaker in official session program,Jake,Not started,
Kenco Logistics Services,Wave 3 - Ecosystem / opportunistic,P3,Transformation,Network engineering leader,Kristi Montgomery,"""Kenco"" AND (""Network engineering leader"" OR ""Network engineering leader"")",Kenco Network engineering leader MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Kenco"" ""Network engineering leader""",3PL / Logistics; Named speaker; MODEX; Atlanta; operations; logistics,Named speaker in official session program,Jake,Not started,
Kenco Logistics Services,Wave 3 - Ecosystem / opportunistic,P3,Site leader,Executive sponsor,Kristi Montgomery,"""Kenco"" AND (""Executive sponsor"" OR ""Executive sponsor"")",Kenco Executive sponsor MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Kenco"" ""Executive sponsor""",3PL / Logistics; Named speaker; MODEX; Atlanta; operations; logistics,Named speaker in official session program,Jake,Not started,
Barnes & Noble,Wave 3 - Ecosystem / opportunistic,P1,Exec owner,CSCO,Annette Danek-Akey,"""Barnes & Noble"" AND (""CSCO"" OR ""CSCO"")",Barnes & Noble CSCO MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Barnes & Noble"" ""CSCO""",Retail; Named speaker; MODEX; Atlanta; operations; logistics,Named speaker in official session program,Jake,Not started,
Barnes & Noble,Wave 3 - Ecosystem / opportunistic,P1,Supply Chain,VP Distribution / Logistics,Annette Danek-Akey,"""Barnes & Noble"" AND (""VP Distribution / Logistics"" OR ""VP Distribution"")",Barnes & Noble VP Distribution / Logistics MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Barnes & Noble"" ""VP Distribution""",Retail; Named speaker; MODEX; Atlanta; operations; logistics,Named speaker in official session program,Jake,Not started,
Barnes & Noble,Wave 3 - Ecosystem / opportunistic,P2,Logistics,VP Transportation,Annette Danek-Akey,"""Barnes & Noble"" AND (""VP Transportation"" OR ""VP Transportation"")",Barnes & Noble VP Transportation MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Barnes & Noble"" ""VP Transportation""",Retail; Named speaker; MODEX; Atlanta; operations; logistics,Named speaker in official session program,Jake,Not started,
Barnes & Noble,Wave 3 - Ecosystem / opportunistic,P2,Operations,Director replenishment / network ops,Annette Danek-Akey,"""Barnes & Noble"" AND (""Director replenishment / network ops"" OR ""Director replenishment"")",Barnes & Noble Director replenishment / network ops MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Barnes & Noble"" ""Director replenishment""",Retail; Named speaker; MODEX; Atlanta; operations; logistics,Named speaker in official session program,Jake,Not started,
Barnes & Noble,Wave 3 - Ecosystem / opportunistic,P3,Transformation,DC operations leader,Annette Danek-Akey,"""Barnes & Noble"" AND (""DC operations leader"" OR ""DC operations leader"")",Barnes & Noble DC operations leader MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Barnes & Noble"" ""DC operations leader""",Retail; Named speaker; MODEX; Atlanta; operations; logistics,Named speaker in official session program,Jake,Not started,
Barnes & Noble,Wave 3 - Ecosystem / opportunistic,P3,Site leader,Transformation leader,Annette Danek-Akey,"""Barnes & Noble"" AND (""Transformation leader"" OR ""Transformation leader"")",Barnes & Noble Transformation leader MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Barnes & Noble"" ""Transformation leader""",Retail; Named speaker; MODEX; Atlanta; operations; logistics,Named speaker in official session program,Jake,Not started,
FedEx,Wave 3 - Ecosystem / opportunistic,P1,Exec owner,VP Operations,Scott Temple,"""FedEx"" AND (""VP Operations"" OR ""VP Operations"")",FedEx VP Operations MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""FedEx"" ""VP Operations""",3PL / Logistics; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
FedEx,Wave 3 - Ecosystem / opportunistic,P1,Supply Chain,VP Transportation,Scott Temple,"""FedEx"" AND (""VP Transportation"" OR ""VP Transportation"")",FedEx VP Transportation MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""FedEx"" ""VP Transportation""",3PL / Logistics; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
FedEx,Wave 3 - Ecosystem / opportunistic,P2,Logistics,VP Network Planning,Scott Temple,"""FedEx"" AND (""VP Network Planning"" OR ""VP Network Planning"")",FedEx VP Network Planning MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""FedEx"" ""VP Network Planning""",3PL / Logistics; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
FedEx,Wave 3 - Ecosystem / opportunistic,P2,Operations,Director sort / hub operations,Scott Temple,"""FedEx"" AND (""Director sort / hub operations"" OR ""Director sort"")",FedEx Director sort / hub operations MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""FedEx"" ""Director sort""",3PL / Logistics; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
FedEx,Wave 3 - Ecosystem / opportunistic,P3,Transformation,Innovation leader,Scott Temple,"""FedEx"" AND (""Innovation leader"" OR ""Innovation leader"")",FedEx Innovation leader MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""FedEx"" ""Innovation leader""",3PL / Logistics; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
FedEx,Wave 3 - Ecosystem / opportunistic,P3,Site leader,Partnership leader,Scott Temple,"""FedEx"" AND (""Partnership leader"" OR ""Partnership leader"")",FedEx Partnership leader MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""FedEx"" ""Partnership leader""",3PL / Logistics; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
